Step	AgentID	acuity	complexity	care_setting
3	36a90522-eb8b-41fd-8bcf-3144014826c6	0.08749436634745972	0.6037260313668911	ED
4	36a90522-eb8b-41fd-8bcf-3144014826c6	0.0	0.6037260313668911	ED
5	36a90522-eb8b-41fd-8bcf-3144014826c6	0.0	0.6037260313668911	ED
6	36a90522-eb8b-41fd-8bcf-3144014826c6	0.0	0.6037260313668911	ED
7	36a90522-eb8b-41fd-8bcf-3144014826c6	0.0	0.6037260313668911	ED
8	36a90522-eb8b-41fd-8bcf-3144014826c6	0.0	0.6037260313668911	ED
9	36a90522-eb8b-41fd-8bcf-3144014826c6	0.0	0.6037260313668911	ED
0	af456a2f-1b82-4563-860f-7b8c06aaf1e8	0.3171282732743802	0.7297317866938179	Hospital
1	af456a2f-1b82-4563-860f-7b8c06aaf1e8	0.0	0.7297317866938179	Hospital
2	af456a2f-1b82-4563-860f-7b8c06aaf1e8	0.0	0.7297317866938179	Hospital
3	af456a2f-1b82-4563-860f-7b8c06aaf1e8	0.0	0.7297317866938179	Hospital
4	af456a2f-1b82-4563-860f-7b8c06aaf1e8	0.0	0.7297317866938179	Hospital
5	af456a2f-1b82-4563-860f-7b8c06aaf1e8	0.0	0.7297317866938179	Hospital
6	af456a2f-1b82-4563-860f-7b8c06aaf1e8	0.0	0.7297317866938179	Hospital
7	af456a2f-1b82-4563-860f-7b8c06aaf1e8	0.0	0.7297317866938179	Hospital
8	af456a2f-1b82-4563-860f-7b8c06aaf1e8	0.0	0.7297317866938179	Hospital
9	af456a2f-1b82-4563-860f-7b8c06aaf1e8	0.0	0.7297317866938179	Hospital
0	c21b5e2f-b9a2-4325-a92a-14679bafa49f	0.04622809145470075	0.9731157639793706	Hospital
1	c21b5e2f-b9a2-4325-a92a-14679bafa49f	0.0	0.9731157639793706	Hospital
